FLY524_P2_ul,FLY524_P1_ul,FLY524_P2_dl,FLY524_P1_dl,FLY526_P2_ul,FLY526_P1_ul,FLY526_P2_dl,FLY526_P1_dl
40.08868408,37.5168457,43.80267334,30.01489258,31.07952881,7.932006836,23.17382813,21.01708984
40.06811523,36.50048828,40.55419922,28.85961914,32.19024658,7.909912109,22.40826416,14.75195313
40.25323486,37.11914063,40.92663574,31.77001953,30.17449951,8.373901367,21.14611816,12.44140625
42.5980835,35.74926758,42.45776367,36.01342773,29.66027832,7.77734375,22.42895508,13.21899414
38.36090088,35.52832031,43.07849121,43.76708984,24.49749756,8.130859375,18.70458984,11.08618164
43.87335205,40.5880127,38.85754395,42.58959961,17.89489746,7.379638672,15.890625,13.57446289
39.67730713,39.12976074,40.32659912,34.16943359,19.97235107,8.528564453,12.39385986,15.26293945
41.79589844,39.04138184,40.38867188,13.84106445,22.70800781,8.859985352,15.91131592,16.72924805
39.26593018,37.95874023,43.94750977,22.66113281,28.73468018,8.55065918,15.76647949,19.79516602
44.73724365,36.23535156,41.50598145,27.7487793,31.10009766,8.616943359,16.42858887,20.10620117
39.30706787,36.32373047,40.01623535,33.25854492,34.699646,8.815795898,14.46295166,20.12841797
39.0602417,36.63305664,37.78161621,30.28149414,31.59375,8.661132813,12.80767822,20.50610352
40.43835449,39.21813965,46.01660156,29.25952148,30.66815186,8.815795898,11.02825928,20.26171875
36.24230957,39.2623291,40.82318115,23.4831543,31.18237305,8.175048828,12.97320557,9.419921875
40.08868408,38.1796875,42.91296387,28.72631836,30.81213379,8.705322266,9.145385742,12.33032227
36.77709961,38.79833984,44.11303711,27.7043457,22.23492432,7.733154297,12.00073242,10.99731445
38.05236816,41.0078125,38.17474365,25.14941406,22.31719971,7.644775391,15.84924316,12.04150391
38.42260742,40.2565918,20.07019043,23.72753906,22.48175049,7.026123047,15.62164307,11.50830078
38.71057129,41.56018066,19.67706299,24.59399414,22.19378662,7.733154297,4.862365723,10.73071289
40.66461182,39.74841309,19.90466309,23.83862305,21.65899658,6.738891602,5.793457031,10.39746094
40.93200684,39.2623291,17.81488037,22.97216797,22.58459473,8.175048828,6.248657227,11.64160156
41.19940186,34.15844727,13.09735107,23.08325195,20.95965576,8.727416992,5.60723877,11.48608398
38.48431396,37.78198242,15.6630249,23.66088867,20.26031494,8.307617188,11.54553223,13.24121094
41.96044922,39.06347656,18.14593506,24.43847656,21.5355835,8.042480469,8.793640137,13.06347656
40.37664795,38.57739258,15.78717041,28.17089844,25.60821533,7.954101563,2.255310059,12.41918945
38.36090088,30.13720703,20.21502686,19.35083008,25.15570068,9.058837891,1.386291504,10.81958008
42.88604736,38.33435059,16.4699707,22.75,16.2699585,8.992553711,0,12.26367188
40.74688721,39.57165527,17.19415283,23.57202148,17.23669434,8.241333008,0,13.30786133
38.97796631,36.87609863,12.26971436,15.08520508,12.46472168,8.837890625,0,11.13061523
38.17578125,36.50048828,16.61480713,20.81713867,10.92205811,8.926269531,2.586364746,10.39746094
38.5871582,38.73205566,11.9800415,23.26098633,16.68133545,8.970458984,0.703491211,12.44140625
40.66461182,40.07983398,12.45593262,22.75,16.35223389,8.307617188,0.413818359,10.70849609
40.23266602,40.36706543,12.39385986,23.68310547,14.52160645,8.661132813,3.372619629,11.10839844
42.82434082,39.88098145,17.54589844,24.99389648,18.61480713,8.197143555,5.19342041,11.50830078
42.1661377,16.23962402,17.54589844,28.61523438,29.78369141,7.048217773,6.765930176,11.79711914
37.22961426,37.67150879,16.78033447,25.72705078,34.28826904,7.423828125,5.08996582,12.93017578
39.73901367,36.85400391,15.20782471,24.52734375,36.94165039,8.683227539,5.40032959,13.5300293
37.66156006,33.36303711,15.4354248,22.50561523,36.22174072,9.014648438,6.145202637,13.59667969
37.04449463,30.99890137,13.98706055,25.74926758,32.97186279,9.036743164,3.848510742,13.08569336
42.45410156,30.73376465,12.12487793,21.99462891,37.18847656,8.926269531,3.124328613,12.95239258
43.56481934,34.11425781,13.42840576,18.90649414,37.02392578,8.616943359,4.634765625,10.73071289
39.82128906,32.78857422,11.75244141,21.81689453,34.45281982,9.036743164,6.145202637,14.1965332
41.24053955,32.83276367,11.71105957,24.61621094,30.40075684,7.622680664,4.365783691,14.28540039
41.91931152,35.41784668,15.39404297,27.10449219,31.90228271,9.567016602,2.669128418,11.75268555
42.49523926,36.25744629,17.13208008,24.1940918,29.84539795,9.12512207,2.710510254,10.26416016
39.80072021,37.73779297,14.46295166,25.17163086,31.07952881,9.147216797,2.317382813,14.9296875
44.46984863,36.78771973,13.03527832,23.97192383,34.47338867,9.390258789,3.496765137,10.15307617
39.0602417,28.6126709,13.0145874,14.15209961,33.60949707,8.219238281,4.407165527,10.99731445
41.03485107,30.7779541,14.2767334,17.7956543,35.66638184,9.544921875,5.50378418,9.575439453
39.98583984,35.88183594,16.78033447,23.66088867,34.78192139,9.323974609,6.393493652,10.46411133
42.20727539,38.55529785,18.35284424,24.43847656,31.5526123,9.323974609,4.07611084,7.998046875
36.34515381,39.66003418,13.2421875,24.12744141,30.44189453,9.323974609,1.675964355,10.26416016
43.52368164,35.94812012,20.35986328,22.94995117,32.60162354,9.19140625,5.565856934,7.687011719
40.58233643,34.15844727,21.95306396,17.95117188,21.84411621,9.743774414,3.082946777,10.06420898
40.64404297,34.22473145,13.2421875,13.13012695,26.26641846,8.992553711,2.793273926,11.19726563
40.29437256,36.4342041,20.50469971,12.97460938,28.54956055,9.544921875,4.28302002,13.17456055
40.04754639,38.04711914,21.37371826,20.92822266,26.86291504,8.882080078,2.896728516,9.375488281
41.24053955,38.79833984,22.34619141,21.79467773,27.80908203,8.351806641,6.72454834,3.310302734
42.41296387,36.83190918,22.36688232,15.52954102,31.18237305,8.506469727,8.710876465,4.998779297
39.57446289,36.61096191,17.69073486,12.50805664,34.80249023,8.815795898,8.690185547,4.487792969
39.84185791,38.06921387,13.51116943,21.23925781,27.97363281,9.611206055,8.793640137,8.109130859
41.03485107,37.89245605,11.9800415,23.97192383,13.98681641,8.771606445,8.793640137,9.353271484
37.86724854,31.90478516,10.90411377,20.30615234,27.50054932,9.478637695,8.917785645,9.975341797
39.65673828,29.40808105,12.22833252,15.70727539,32.37536621,9.368164063,8.028076172,9.575439453
40.91143799,36.85400391,21.72546387,14.30761719,32.60162354,8.948364258,7.324584961,11.66381836
40.76745605,38.29016113,23.31866455,11.57495117,30.42132568,9.147216797,5.752075195,9.353271484
37.08563232,37.91455078,19.18048096,15.6628418,17.17498779,9.589111328,3.807128906,9.908691406
